Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2018,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
I. HLAVA Tr. zákona                     ,  5 400,  3 549,   66,  2 814,   695,   526,   58,   32,   ,   ,   225,   13,   4,  4 410,   551,   63,   36,   ,   ,   233,   14,   4,
§ 144                                   ,   22,   9,   41,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 145                                   ,   40,   36,   90,   ,   4,   13,   2,   ,   ,   ,   1,   ,   ,   39,   13,   2,   ,   ,   ,   1,   ,   ,
§ 146                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 147                                   ,   18,   9,   50,   ,   1,   8,   ,   ,   ,   ,   ,   ,   ,   9,   7,   ,   ,   ,   ,   ,   ,   ,
§ 148                                   ,   11,   5,   45,   ,   1,   5,   ,   ,   ,   ,   ,   ,   ,   7,   6,   ,   ,   ,   ,   ,   ,   ,
§ 149                                   ,   443,   84,   19,   690,   58,   5,   3,   ,   ,   ,   ,   ,   ,   152,   5,   3,   ,   ,   ,   ,   ,   ,
§ 151                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 154                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 155                                   ,   234,   183,   78,   ,   29,   68,   1,   1,   ,   ,   21,   ,   ,   247,   69,   1,   1,   ,   ,   24,   ,   ,
§ 156                                   ,  1 363,   959,   70,   20,   118,   313,   ,   24,   ,   ,   92,   11,   ,  1 185,   343,   ,   28,   ,   ,   100,   12,   ,
§ 157                                   ,   838,   577,   69,   864,   205,   55,   1,   1,   ,   ,   10,   1,   ,   776,   52,   1,   1,   ,   ,   10,   1,   ,
§ 158                                   ,   780,   478,   61,  1 102,   108,   25,   1,   2,   ,   ,   1,   ,   ,   583,   25,   1,   2,   ,   ,   1,   ,   ,
§ 162                                   ,   3,   1,   33,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   3,   ,   ,   ,   ,   ,   1,   ,   ,
§ 163                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 164                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 165                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 167                                   ,   20,   17,   85,   ,   ,   ,   ,   3,   ,   ,   8,   ,   ,   15,   ,   ,   3,   ,   ,   8,   ,   ,
§ 168                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 169                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 170                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 171                                   ,   896,   664,   74,   ,   83,   20,   32,   ,   ,   ,   64,   ,   3,   720,   20,   31,   ,   ,   ,   62,   ,   3,
§ 172/1A                                ,   44,   22,   50,   ,   9,   ,   3,   ,   ,   ,   ,   ,   ,   63,   ,   5,   ,   ,   ,   ,   ,   ,
§ 172/1B                                ,   54,   32,   59,   ,   10,   ,   1,   ,   ,   ,   ,   ,   ,   61,   ,   4,   ,   ,   ,   ,   ,   ,
§ 172/1C                                ,   425,   319,   75,   ,   44,   2,   9,   1,   ,   ,   19,   ,   1,   387,   2,   9,   1,   ,   ,   19,   ,   1,
§ 172/1D                                ,   106,   94,   89,   ,   9,   6,   5,   ,   ,   ,   6,   1,   ,   103,   6,   6,   ,   ,   ,   6,   1,   ,
§ 173                                   ,   7,   4,   57,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 174                                   ,   41,   26,   63,   ,   2,   ,   ,   ,   ,   ,   2,   ,   ,   28,   ,   ,   ,   ,   ,   1,   ,   ,
§ 175                                   ,   3,   2,   67,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 176                                   ,   5,   1,   20,   134,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 177                                   ,   12,   6,   50,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   6,   1,   ,   ,   ,   ,   ,   ,   ,
§ 178                                   ,   19,   15,   79,   1,   4,   4,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
II. HLAVA Tr. zákona                    ,  3 172,  2 040,   64,  14 595,   182,   315,   5,   149,   ,   ,   537,   21,   ,  2 413,   316,   5,   212,   ,   ,   557,   23,   ,
